Title;Link;Creator
GenZ as doctors;https://www.youtube.com/watch?v=_OR48B404GU;FootDocDana
The study hack that made me a doctor;https://www.youtube.com/watch?v=CDF60kuTdko;FootDocDana
Peanut allergies in a nutshell ??;https://www.youtube.com/watch?v=cDgs7oegV3k;FootDocDana
The intrusive thoughts won;https://www.youtube.com/watch?v=xWJOoJYXhD8;FootDocDana
Surgeon plays operation!;https://www.youtube.com/watch?v=mnmUI_Vw8-c;FootDocDana
How I know Im getting old;https://www.youtube.com/watch?v=7702RkBSunI;FootDocDana
I couldnt take this seriously;https://www.youtube.com/watch?v=wyYhdLJnZ8Q;FootDocDana
I didnt see this coming;https://www.youtube.com/watch?v=ELxD6zPfxKw;FootDocDana
Im on Greys Anatomy?!;https://www.youtube.com/watch?v=bI1b6AhfjHM;FootDocDana
Awkward surgery moment;https://www.youtube.com/watch?v=Q3Pm88yaqCA;FootDocDana
Doctor fail;https://www.youtube.com/watch?v=bW4Zfy8LcCQ;FootDocDana
Why doctors hate TikTok;https://www.youtube.com/watch?v=xVQ3DaBorfs;FootDocDana
Why I got in trouble at the airport;https://www.youtube.com/watch?v=cmjNrXvbLmw;FootDocDana
Doctor reacts to CRAZY medical TikToks | FootDocDana compilation;https://www.youtube.com/watch?v=Vif5WUELnjk;FootDocDana
First week as a doctor be like;https://www.youtube.com/watch?v=SobuIX77b8Y;FootDocDana
Doctors after zoom university be like;https://www.youtube.com/watch?v=8c9uBPiNgek;FootDocDana
I wear pajamas to work. (No, I dont work from home);https://www.youtube.com/watch?v=M32ZDyJ4exs;FootDocDana
Im in the hospital;https://www.youtube.com/watch?v=wPPdmCVtx1M;FootDocDana
Do doctors know everything?;https://www.youtube.com/watch?v=g8iJ7oXJyx4;FootDocDana
When the doctor is gen Z;https://www.youtube.com/watch?v=9HzQvrYvLsc;FootDocDana
What motivated me to be a doctor;https://www.youtube.com/watch?v=QZL0g-M4A0M;FootDocDana
Rookie mistake;https://www.youtube.com/watch?v=9eQb50hCrYs;FootDocDana
Looks like Im on Greys Anatomy?!;https://www.youtube.com/watch?v=ftJtrqtIVT0;FootDocDana
Peanut allergies in a nutshell ??;https://www.youtube.com/watch?v=t8198ff9WaQ;FootDocDana
The study hack that made me a doctor;https://www.youtube.com/watch?v=WzjtQfGafs0;FootDocDana
What I really wear #doctor;https://www.youtube.com/watch?v=-pDNPNcCijY;FootDocDana
I cheated.;https://www.youtube.com/watch?v=myoa97RPUoE;FootDocDana
The intrusive thoughts won;https://www.youtube.com/watch?v=mcAigwvLTE8;FootDocDana
GenZ as doctors (with @barrettplasticsurgery);https://www.youtube.com/watch?v=ungmKCNHn-8;FootDocDana
My problem with @barrettplasticsurgery;https://www.youtube.com/watch?v=OeRrT2pHOkE;FootDocDana
When do doctors pee??? (with @DoctorMyro);https://www.youtube.com/watch?v=-WNivqsxXL8;FootDocDana
MY MOST VIRAL VIDEO: Doctor on a plane;https://www.youtube.com/watch?v=c_Kb3h5ucVk;FootDocDana
Being a doctor is weird because:;https://www.youtube.com/watch?v=vDDgROX1Es4;FootDocDana
Am I a #rich doctor? (Exposed!??);https://www.youtube.com/watch?v=_u01EOXU0xY;FootDocDana
When youre late for work;https://www.youtube.com/watch?v=EvrLgukq-iA;FootDocDana
Doctors after Zoom University be like;https://www.youtube.com/watch?v=ncqYsVggVFo;FootDocDana
How I became a 25 year old doctor;https://www.youtube.com/watch?v=6SLnZyB157U;FootDocDana
When the doctor is gen Z;https://www.youtube.com/watch?v=E8IQNepgIK0;FootDocDana
Doctor reacts: man flu?;https://www.youtube.com/watch?v=Y_VcPX4Sqzg;FootDocDana
Things in my office that just make sense #doctor;https://www.youtube.com/watch?v=yQVDHfVao9A;FootDocDana
These patients scare me;https://www.youtube.com/watch?v=QLIcD1V0qR8;FootDocDana
What motivated me to be a doctor;https://www.youtube.com/watch?v=tQ2R5ImwYG4;FootDocDana
Outsmarting the surgeon;https://www.youtube.com/watch?v=kr5axDWypmY;FootDocDana
What REALLY happens when you go #viral;https://www.youtube.com/watch?v=_hSwOXCcqNM;FootDocDana
Forbidden butter;https://www.youtube.com/watch?v=a2yIXWItxu4;FootDocDana
How her surgery day was picked;https://www.youtube.com/watch?v=J5kXL5rfQy0;FootDocDana
When I actually remember to drink water;https://www.youtube.com/watch?v=pPmQFQHxyeE;FootDocDana
I'm in the #hospital;https://www.youtube.com/watch?v=7Ucgqk85Ll8;FootDocDana
Surgeon vs anesthesia (@DoctorMyro);https://www.youtube.com/watch?v=KVqK5BUpuKQ;FootDocDana
The WORST type of doctor (@DoctorMyro);https://www.youtube.com/watch?v=_q0y0R6ksxg;FootDocDana
I outsmarted my parents;https://www.youtube.com/watch?v=dw0dCp1VO0w;FootDocDana
What I REALLY want to wear #doctor;https://www.youtube.com/watch?v=8AsekfS0vfg;FootDocDana
Doctor reacts to surgeon rant;https://www.youtube.com/watch?v=h1EqtYD5D3A;FootDocDana
Doctor reacts to brutal medical joke;https://www.youtube.com/watch?v=Aak8hshGDo0;FootDocDana
Day 1 of being a doctor;https://www.youtube.com/watch?v=EszIf48FYC0;FootDocDana
Her first day as a doctor;https://www.youtube.com/watch?v=j_WGcyJ4aZw;FootDocDana
When Google is the doctor;https://www.youtube.com/watch?v=FCoWWkzOfKw;FootDocDana
Doctor on a plane;https://www.youtube.com/watch?v=lOOn-vV8_fk;FootDocDana
How #doctors walk through the hospital;https://www.youtube.com/watch?v=taw4ZgKIc-Y;FootDocDana
POV: breaking up with a doctor;https://www.youtube.com/watch?v=focevqA13Z8;FootDocDana
Doctor reacts: faking a doctors note;https://www.youtube.com/watch?v=TvPzurWZzmA;FootDocDana
The moment I knew I was addicted;https://www.youtube.com/watch?v=Mz92rKG83oU;FootDocDana
Doctor reacts: topless shoes;https://www.youtube.com/watch?v=I6cNEUYTSFs;FootDocDana
Why I got in trouble at the airport #surgeon;https://www.youtube.com/watch?v=vG0hE5H4qw0;FootDocDana
Steps to becoming a #doctor;https://www.youtube.com/watch?v=e05HCb7sYP0;FootDocDana
When patients are too honest;https://www.youtube.com/watch?v=91Jv3nWdaO4;FootDocDana
When the #doctor is too young;https://www.youtube.com/watch?v=TlzlWH8MZ0w;FootDocDana
My perfect partner?;https://www.youtube.com/watch?v=P3VPnLF3o20;FootDocDana
