Title;Link;Creator
Inspirational brain surgeon diagnosed with terminal tumour | 60 Minutes Australia;https://www.youtube.com/watch?v=qwvCmQ-no6s;60 Minutes Australia
Inside Ebola's hotzone - most deadly virus on earth | 60 Minutes Australia;https://www.youtube.com/watch?v=TMIdKkLrXv0;60 Minutes Australia
Doctors risk jail time admitting they euthanise patients | 60 Minutes Australia;https://www.youtube.com/watch?v=ZEMSZAfsrFc;60 Minutes Australia
Everest ER: Where doctors rebuild mountaineers' broken bodies | 60 Minutes Australia;https://www.youtube.com/watch?v=VPqI8NsF9Fc;60 Minutes Australia
Organ donation debate: Should donors and recipients meet? | 60 Minutes Australia;https://www.youtube.com/watch?v=5-SV35OI7uc;60 Minutes Australia
High risk in-utero surgery saves unborn baby from deadly tumour | 60 Minutes Australia;https://www.youtube.com/watch?v=03KFpgp2PrI;60 Minutes Australia
Meet the people living with severe anxiety | 60 Minutes Australia;https://www.youtube.com/watch?v=BKYI6f4Z-9g;60 Minutes Australia
Revolutionary procedure to cure blindness | 60 Minutes Australia;https://www.youtube.com/watch?v=KZn4KSy7xNM;60 Minutes Australia
Would you clone your beloved pet? | 60 Minutes Australia;https://www.youtube.com/watch?v=dNPUR_Y7fzE;60 Minutes Australia
Drug 50 times stronger than heroin and legal | 60 Minutes Australia;https://www.youtube.com/watch?v=lSGtpvJgJ-s;60 Minutes Australia
Shocking IVF mix up: Woman gives birth to someone else's child | 60 Minutes Australia;https://www.youtube.com/watch?v=vYOO66xEHy8;60 Minutes Australia
Incredible science behind cloning Dolly the sheep | 60 Minutes Australia;https://www.youtube.com/watch?v=jDi-eF0_f8s;60 Minutes Australia
Donor-conceived child wants anonymous sperm donations banned | 60 Minutes Australia;https://www.youtube.com/watch?v=SQI_YXprYRw;60 Minutes Australia
Women who lose complete memory every few minutes | 60 Minutes Australia;https://www.youtube.com/watch?v=qCtd_bqIBoM;60 Minutes Australia
The Botox boom | 60 Minutes Australia;https://www.youtube.com/watch?v=l21M2EEgacc;60 Minutes Australia
World first: Born with enough skin for a five-year-old child | 60 Minutes Australia;https://www.youtube.com/watch?v=YliZPW2bV5Y;60 Minutes Australia
Medical mystery: Boy living with rare excess skin condition | 60 Minutes Australia;https://www.youtube.com/watch?v=QV4k3pBukyE;60 Minutes Australia
World's most severe Tourette's case doesn't want a cure | 60 Minutes Australia;https://www.youtube.com/watch?v=U8xEin-APAo;60 Minutes Australia
WORLD FIRST: Mother and son both transition to opposite genders | 60 Minutes Australia;https://www.youtube.com/watch?v=LEEboSNIDag;60 Minutes Australia
Private video;https://www.youtube.com/watch?v=_9L7MugvoIE;60 Minutes Australia
Does the world's most popular weed killer cause cancer? | 60 Minutes Australia;https://www.youtube.com/watch?v=AHZg--xbLoQ;60 Minutes Australia
Terrifying genetic disease causes entire families to never sleep again | 60 Minutes Australia;https://www.youtube.com/watch?v=4Zaz67IcLDY;60 Minutes Australia
Brave teen's fight to transition to life as a woman | 60 Minutes Australia;https://www.youtube.com/watch?v=zDsTwcd8hp0;60 Minutes Australia
Transgender boy transitioning to life as girl changes his mind | 60 Minutes Australia;https://www.youtube.com/watch?v=27qjn0v4Av4;60 Minutes Australia
Woman becomes allergic to the world | 60 Minutes Australia;https://www.youtube.com/watch?v=0MSRHd6vabo;60 Minutes Australia
Mum forces herself onto drug trial to cure terminal cancer diagnosis | 60 Minutes Australia;https://www.youtube.com/watch?v=sHS-3p9g_Os;60 Minutes Australia
Rare and mysterious disease causes skin to fall off | 60 Minutes Australia;https://www.youtube.com/watch?v=bF5eOxwwihM;60 Minutes Australia
Man claims he treated cancer with controversial alternative healing | 60 Minutes Australia;https://www.youtube.com/watch?v=btqBrOH-WoU;60 Minutes Australia
Explosive split-second scientists say the universe was created | 60 Minutes Australia;https://www.youtube.com/watch?v=PdLChoFkC5g;60 Minutes Australia
Conjoined babies abandoned by drug addict mum | 60 Minutes Australia;https://www.youtube.com/watch?v=rBKDI59gCto;60 Minutes Australia
Boy born with half a working heart | 60 Minutes Australia;https://www.youtube.com/watch?v=pSKaaE0BmgA;60 Minutes Australia
Pop star turned professor 'making science hot' | 60 Minutes Australia;https://www.youtube.com/watch?v=SVd0F-cY5bE;60 Minutes Australia
Doctors remove half of girl's brain to cure epilepsy | 60 Minutes Australia;https://www.youtube.com/watch?v=FopJR6i1yYs;60 Minutes Australia
Grandparents illegally growing cannabis to save granddaughter with epilepsy | 60 Minutes Australia;https://www.youtube.com/watch?v=ZZ6ptup5Jlk;60 Minutes Australia
Desperate parents buying donor eggs on the black market | 60 Minutes Australia;https://www.youtube.com/watch?v=3Z6PKT01pdw;60 Minutes Australia
Doomsday vault' at the edge of the world holds the key to human survival | 60 Minutes Australia;https://www.youtube.com/watch?v=UqFAO0NZLLQ;60 Minutes Australia
Soldiers that survived explosion facing life-changing brain injuries | 60 Minutes Australia;https://www.youtube.com/watch?v=ssYy5gr_AB0;60 Minutes Australia
Teen genius makes eureka discovery that turns the science world upside down | 60 Minutes Australia;https://www.youtube.com/watch?v=2YLnj8kzKCE;60 Minutes Australia
Aussie farmer loses both legs in freak lawnmower accident | 60 Minutes Australia;https://www.youtube.com/watch?v=ZGT_0F7aqCQ;60 Minutes Australia
Curing a mysterious nerve condition by inflicting unbearable pain | 60 Minutes Australia;https://www.youtube.com/watch?v=PBUuHcLn4eY;60 Minutes Australia
Man 'locked' in his own brain makes miracle coma recovery | 60 Minutes Australia;https://www.youtube.com/watch?v=IZr5VS7HDO8;60 Minutes Australia
Saving the Tasmanian Devil | 60 Minutes Australia;https://www.youtube.com/watch?v=iLAZQlo8YaA;60 Minutes Australia
World first face transplant: meeting the man who wears 'my brother's face' | 60 Minutes Australia;https://www.youtube.com/watch?v=GaZKb4K2k2g;60 Minutes Australia
The courageous Dr Ian Davis: finding a MND cure | 60 Minutes Australia;https://www.youtube.com/watch?v=zWw5SL-_1qk;60 Minutes Australia
A parent's impossible choice: saving siblings with rare Sanfilippo syndrome | 60 Minutes Australia;https://www.youtube.com/watch?v=eMCWZdUEbcM;60 Minutes Australia
"Journalist goes undercover at ""wet markets"", where the Coronavirus started | 60 Minutes Australia";https://www.youtube.com/watch?v=Y7nZ4mw4mXw;60 Minutes Australia
Coronavirus: radical action needed to stem the spread in Australia | 60 Minutes Australia;https://www.youtube.com/watch?v=YD6vrxVGCLQ;60 Minutes Australia
Cure for COVID-19? The drug that has killed Coronavirus in the test tube | 60 Minutes Australia;https://www.youtube.com/watch?v=NeY_HqIasdo;60 Minutes Australia
Inside the overcrowded ICU hospitals on front line of Italy's COVID-19 crisis | 60 Minutes Australia;https://www.youtube.com/watch?v=lX-G6zKMajk;60 Minutes Australia
Whistleblowers silenced by China could have stopped global coronavirus spread | 60 Minutes Australia;https://www.youtube.com/watch?v=pEQcvcyzQGE;60 Minutes Australia
New York: the new deadly epicentre of the coronavirus crisis | 60 Minutes Australia;https://www.youtube.com/watch?v=QtvNc9vhx94;60 Minutes Australia
Doctors, patients and families: the many Australians fighting the coronavirus | 60 Minutes Australia;https://www.youtube.com/watch?v=3hKLJgi5Ndg;60 Minutes Australia
Coronavirus crisis: Australia fights COVID-19 pandemic 'together, apart' | 60 Minutes Australia LIVE;https://www.youtube.com/watch?v=uqyovZ1G6Fg;60 Minutes Australia
Coronavirus crisis: Passengers dying after contracting virus on cruise ships | 60 Minutes Australia;https://www.youtube.com/watch?v=2NZsL3idid0;60 Minutes Australia
Hospitals left without masks as vital medical supplies shipped to China | 60 Minutes Australia;https://www.youtube.com/watch?v=T3s6kcXi4pA;60 Minutes Australia
Why are frontline health workers left without protective equipment? | 60 Minutes Australia;https://www.youtube.com/watch?v=FRc1oJACZzo;60 Minutes Australia
CHINA VS. U.S.A: the race for a coronavirus vaccine | 60 Minutes Australia;https://www.youtube.com/watch?v=ly6pz1_AKiE;60 Minutes Australia
Inside Australia's COVID-19 ICU hospitals | 60 Minutes Australia;https://www.youtube.com/watch?v=OSfLd05B_Sw;60 Minutes Australia
Meet the medical detectives tracking the origins of COVID-19 cases | 60 Minutes Australia;https://www.youtube.com/watch?v=mQufJqfbpYI;60 Minutes Australia
Meet the medical detectives tracking the origins of COVID-19 cases | 60 Minutes Australia;https://www.youtube.com/watch?v=mQufJqfbpYI;60 Minutes Australia
Revolutionary drug trial using ecstasy to treat PTSD and mental illness | 60 Minutes Australia;https://www.youtube.com/watch?v=6V6V_tGTTjc;60 Minutes Australia
Revolutionary drug trial using ecstasy to treat PTSD and mental illness | 60 Minutes Australia;https://www.youtube.com/watch?v=6V6V_tGTTjc;60 Minutes Australia
Revolutionary drug trial using ecstasy to treat PTSD and mental illness | 60 Minutes Australia;https://www.youtube.com/watch?v=6V6V_tGTTjc;60 Minutes Australia
Scientist says a coronavirus vaccine in just 12 months is 'fake news' | 60 Minutes Australia;https://www.youtube.com/watch?v=VFyKkopIbNY;60 Minutes Australia
Scientist says a coronavirus vaccine in just 12 months is 'fake news' | 60 Minutes Australia;https://www.youtube.com/watch?v=VFyKkopIbNY;60 Minutes Australia
Pro-surfer Tyler Wright's inspiring story of post viral syndrome recovery | 60 Minutes Australia;https://www.youtube.com/watch?v=Y_14KOVtIwU;60 Minutes Australia
Pro-surfer Tyler Wright's inspiring story of post viral syndrome recovery | 60 Minutes Australia;https://www.youtube.com/watch?v=Y_14KOVtIwU;60 Minutes Australia
Pro-surfer Tyler Wright's inspiring story of post viral syndrome recovery | 60 Minutes Australia;https://www.youtube.com/watch?v=Y_14KOVtIwU;60 Minutes Australia
Baby left brain damaged after hospital mix-up oxygen with wrong gas | 60 Minutes Australia;https://www.youtube.com/watch?v=fQ_tiCwIV38;60 Minutes Australia
Baby left brain damaged after hospital mix-up oxygen with wrong gas | 60 Minutes Australia;https://www.youtube.com/watch?v=fQ_tiCwIV38;60 Minutes Australia
The 1997 warning to all Australians about Type 2 Diabetes | 60 Minutes Australia;https://www.youtube.com/watch?v=Hdq4hfuM_ks;60 Minutes Australia
Climate change catastrophe: What does melting Permafrost mean for our planet? | 60 Minutes Australia;https://www.youtube.com/watch?v=zuiQtLAUi6U;60 Minutes Australia
Climate change catastrophe: What does melting Permafrost mean for the planet? | 60 Minutes Australia;https://www.youtube.com/watch?v=SgG5kpvfeeA;60 Minutes Australia
Inside the worlds only Permafrost research tunnel in Alaska | 60 Minutes Australia;https://www.youtube.com/watch?v=0yFqvELH-Ww;60 Minutes Australia
World's biggest dam: China's engineering masterpiece or environment disaster? | 60 Minutes Australia;https://www.youtube.com/watch?v=sZxW2JUWozc;60 Minutes Australia
The impact of Dr Peter Neubauer's unethical twin experiment | 60 Minutes Australia;https://www.youtube.com/watch?v=9XRpL6_wSeI;60 Minutes Australia
Professor Nancy Segal on the incredible bond between twins and triplets | 60 Minutes Australia;https://www.youtube.com/watch?v=Asw4YjyCL2I;60 Minutes Australia
Lab experiment reveals the dangers of unsafe flammable cladding | 60 Minutes Australia;https://www.youtube.com/watch?v=I4h2PZAUBv8;60 Minutes Australia
Inside the COVID-19 red zone: Cameras on the frontlines against coronavirus | 60 Minutes Australia;https://www.youtube.com/watch?v=AvjmM-n2rik;60 Minutes Australia
24-year-old registered nurse shares his COVID-19 experience in quarantine | 60 Minutes Australia;https://www.youtube.com/watch?v=uDleplCpc5E;60 Minutes Australia
The Dr Anthony Fauci interview: Coronavirus, vaccines and President Trump | 60 Minutes Australia;https://www.youtube.com/watch?v=BGqZMIgeyKQ;60 Minutes Australia
Dr Anthony Fauci's 2018 interview on flu dangers and future virus pandemic | 60 Minutes Australia;https://www.youtube.com/watch?v=f4tMTX58pHA;60 Minutes Australia
Long haul COVID-19 victims experiencing bizarre symptoms after recovery | 60 Minutes Australia;https://www.youtube.com/watch?v=gRJ5_bMggWQ;60 Minutes Australia
Combatting myths around miscarriage: how women heal from pregnancy loss | 60 Minutes Australia;https://www.youtube.com/watch?v=-NYc-kazl5k;60 Minutes Australia
Combatting myths around miscarriage: how women heal from pregnancy loss | 60 Minutes Australia;https://www.youtube.com/watch?v=_IpC1D3UvVk;60 Minutes Australia
The deadly smoke after bushfires causing severe asthma | 60 Minutes Australia;https://www.youtube.com/watch?v=BQysNH2-_ro;60 Minutes Australia
The deadly smoke after bushfires causing severe asthma | 60 Minutes Australia;https://www.youtube.com/watch?v=OFeeafqksJE;60 Minutes Australia
Family raising asthma awareness after heartbreaking death of sister | 60 Minutes Australia;https://www.youtube.com/watch?v=902Wc_IiNwM;60 Minutes Australia
Solving the global food crisis with revolutionary skyscraper farms | 60 Minutes Australia;https://www.youtube.com/watch?v=j2nUk1wCXvM;60 Minutes Australia
Aussie scientists gather vital information to save the incredible Blue Whales | 60 Minutes Australia;https://www.youtube.com/watch?v=hZMDIudk-lk;60 Minutes Australia
Inside Cape Canaveral where the Voyager space probes were first launched | 60 Minutes Australia;https://www.youtube.com/watch?v=-K6cv5gbWbs;60 Minutes Australia
Race against time for terrible 'family curse' of motor neuron disease | 60 Minutes Australia;https://www.youtube.com/watch?v=y7GAoCsAUkA;60 Minutes Australia
Quest for eternal life discovers 'magic pill' to keep us forever young | 60 Minutes Australia;https://www.youtube.com/watch?v=j7w-NhJ9WCQ;60 Minutes Australia
Olympian Alisa Camplins pain over losing son to rare heart disease | 60 Minutes Australia;https://www.youtube.com/watch?v=wY6mxR3cb9Q;60 Minutes Australia
Chelmsford | 60 Minutes Australia;https://www.youtube.com/watch?v=KluuflyIyq4;60 Minutes Australia
Why Swedens anti-lockdown strategy did not work in the COVID-19 fight | 60 Minutes Australia;https://www.youtube.com/watch?v=EkvXSCRm2B8;60 Minutes Australia
Reporter tests just how dangerous texting while driving can be | 60 Minutes Australia;https://www.youtube.com/watch?v=NGH-f8wWTW0;60 Minutes Australia
Australian Soldier saves his own life after landmine blows off both his legs | 60 Minutes Australia;https://www.youtube.com/watch?v=uJL4GWdabso;60 Minutes Australia
The incredible story of how a Magpie named Penguin saved a family | 60 Minutes Australia;https://www.youtube.com/watch?v=RY6chPJHv1w;60 Minutes Australia
Rural towns without doctors forced to rely on virtual healthcare | 60 Minutes Australia;https://www.youtube.com/watch?v=IFu20Y_T_jY;60 Minutes Australia
Lisa and Sonias story: healthcare in country town Narromine | 60 Minutes Australia;https://www.youtube.com/watch?v=1YfmIIetCsU;60 Minutes Australia
Gulgong communitys tireless fight for a doctor at their local hospital | 60 Minutes Australia;https://www.youtube.com/watch?v=nO9PJKdukbs;60 Minutes Australia
Journalist exposes the fatal Fentanyl epidemic destroying millions of lives | 60 Minutes Australia;https://www.youtube.com/watch?v=JOeWrQ7EkZ4;60 Minutes Australia
Inside the world-class cancer treatment centre dedicated to Chris O'Brien | 60 Minutes Australia;https://www.youtube.com/watch?v=orvnRqm2Os0;60 Minutes Australia
Inside the 3D printing technology rapidly changing our future | 60 Minutes Australia;https://www.youtube.com/watch?v=7boAk8AUkek;60 Minutes Australia
Polygamous 'Rabbi' fathers 18 children with 7 different women | 60 Minutes Australia;https://www.youtube.com/watch?v=_vU5xtWspjw;60 Minutes Australia
Brave diver's arm and leg ripped off by bull shark in Sydney | 60 Minutes Australia;https://www.youtube.com/watch?v=8Kt182d7SoE;60 Minutes Australia
Miracle' cancer Doctor scamming the terminally ill | 60 Minutes Australia;https://www.youtube.com/watch?v=UKHXqQ4zoDY;60 Minutes Australia
Elon Musk gets emotional over Australias energy emergency (Part Two) | 60 Minutes Australia;https://www.youtube.com/watch?v=w7BMaG3zyVo;60 Minutes Australia
Elon Musks prediction for the future of energy in Australia | 60 Minutes Australia;https://www.youtube.com/watch?v=PZz2r9j1Lfo;60 Minutes Australia
Elon Musk gets emotional over Australias energy emergency (Part One) | 60 Minutes Australia;https://www.youtube.com/watch?v=U63z6YOGYCY;60 Minutes Australia
First look inside the lab producing Australia's COVID-19 vaccine | 60 Minutes Australia;https://www.youtube.com/watch?v=Xp9A8ustpDc;60 Minutes Australia
First look inside the lab producing Australia's COVID-19 vaccine | 60 Minutes Australia;https://www.youtube.com/watch?v=PrjKYY51gAE;60 Minutes Australia
Investigating the origins of coronavirus on the ground in Wuhan | 60 Minutes Australia;https://www.youtube.com/watch?v=9ZEfTyvUhDU;60 Minutes Australia
Dr Anthony Fauci on the U.S response to the COVID-19 pandemic and vaccine | 60 Minutes Australia;https://www.youtube.com/watch?v=8lQ-FA3ipRk;60 Minutes Australia
Should children be vaccinated against COVID-19? | 60 Minutes Australia;https://www.youtube.com/watch?v=RS8dXofT_NA;60 Minutes Australia
Rare Jeff Bezos interview with his bizarre prediction for the future | 60 Minutes Australia;https://www.youtube.com/watch?v=sfC_ICITCmc;60 Minutes Australia
Scientist fear the 'immoral' dangers of human cloning | 60 Minutes Australia;https://www.youtube.com/watch?v=btW3NFoy9jQ;60 Minutes Australia
Indestructible super bugs taking over our hospitals | 60 Minutes Australia;https://www.youtube.com/watch?v=NVhDfsgnfwY;60 Minutes Australia
Playing God: The faces behind controversial baby cloning | 60 Minutes Australia;https://www.youtube.com/watch?v=MkYpmoQdsV0;60 Minutes Australia
How David Attenborough turned his childhood passion into a lifelong career | 60 Minutes Australia;https://www.youtube.com/watch?v=WV0Pv8XmjWY;60 Minutes Australia
Foreign Accent Syndrome: The medical mystery leaving analysts stumped | 60 Minutes Australia;https://www.youtube.com/watch?v=x18AQT6yKGg;60 Minutes Australia
